Core,Workstream,Audiences ,Learning categories / Playbook Chapter Title,Asset Name,Description ,Asset type (drop-down),Asset Format,Staging Location,Future / Permenant Storage Location.,Dissemination Method (define if linked or described in playbook)
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Dr. Eric Perakslis presentation,Slides from presentaiton on: Flavors of Home Covid Testing,5) Reference/tool,Website,https://duke.box.com/s/rzj4dz2hmhzuc9wj7gofgr73suw63h1o,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Paul Tessier and Sarah Fay presentation,Slides from presentaiton on: Assessment of Testing Protocols Utilizing Community Context,5) Reference/tool,Website,https://duke.box.com/s/9nczkiqf6b2908e8k30837pbc42icbht,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,"First Equity Evidence Academy Webpage: Audrey Anderson, Counsel Bass, Berry & Sims presentation",Slides from presentaiton on: Social Justice and COVID-19 Testing: Obstacles and Bridges: How do Legal Mechanisms Impact Social Justice and COVID-19,5) Reference/tool,Website,https://duke.box.com/s/w37fm18njlzblmsofestfhdskoj5iilh,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Rick Mines presentation (separate item is his paper with methods),Slides from presentaiton on: Barriers to and Effective Strategies for Improving COVID-19 Service Delivery to California Farmworkers,5) Reference/tool,Website,https://duke.box.com/s/3yfwf648gadxf59kwc74mwxfktzk2s5n,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Rick Mines paper (acoompanying slide presentations),"Paper to accompany slides presentation by Rick Mines, Barriers to and effective strategies for improving COVID-19 service delivery to California farmworkers",5) Reference/tool,Website,https://duke.box.com/s/feg5il730o5yhc1qxm6alv6odauwnd0p,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Dr. Cherry Maynor Beasley,Slides from presentaiton on: Using Culture to Achieve Equity,5) Reference/tool,Website,https://duke.box.com/s/9esdibkjc8ekhpox04kp2xo54pqt0597,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Dr. Allan K. Chrisman presentation,Slides from presentaiton on: COVID-19 Cultural and Ethical Considerations,5) Reference/tool,Website,https://duke.box.com/s/yzg1zirwnxhtvnuocoyqad6ef63ly5c7,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Keynote Speaker Dr Patrice A Harris,Slides from keynote presentaiton on: Advancing Equity and Action in the COVID-19 Era,5) Reference/tool,Website,https://duke.box.com/s/8udh3u5zncbt0pr2rvjqye75odok6ggv,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage Keynote with Dr. Georges C. Benjamin,Slides from keynote presentaiton on: COVID-19 Testing: Community Engagement Removing Barriers to Ensure Equitable Access,5) Reference/tool,Website,https://duke.box.com/s/7gy4olrb1czlmo12ux9t4vfjcl9wwqj3,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Dr. Richard J. Hodes presentation,Slides from presentaiton on: Advancing Equity in the COVID-19 Era: Perspectives from Aging Science ,5) Reference/tool,Website,https://duke.box.com/s/d9krjpz2dca0zo19l1c3rywvx1qb0bxd,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Dr Yvette Roubideaux presentation,Slides from presentaiton on: The importance of community in addressing COVID-19 Testing,5) Reference/tool,Website,https://duke.box.com/s/dcoyv6j3gy57p5utcs0k3g1js4xur823,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Keynote speaker Dr. Eliseo J. Perez-Stable,Slides from keynote presentaiton on: Promoting Health Equity in the Time of COVID-19,5) Reference/tool,Website,https://duke.box.com/s/qvzshyurpcsbhlqwjdlm5hul1av6ih8m,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Rich picture of day 2 keynotes,Rich picture illustrations of keynote themes,5) Reference/tool,Website,https://duke.box.com/s/qolfhzgrdvessiu0i4q9sw8lnl08p50y,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Rich picture of day 1 keynotes,Rich picture illustrations of keynote themes,5) Reference/tool,Website,https://duke.box.com/s/xdhed6lhz53nmoq5o0k388ukytrp1nvw,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Rich picture with report back illustrations,Rich picture with themed illustrations from report backs,5) Reference/tool,Website,https://duke.box.com/s/ghia5l3mjuelm92b1u6hrdzvpzt0hnyy,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Summary Report in Spanish,First Equity Evidence Academy Summary Report in Spanish,5) Reference/tool,Website,https://duke.box.com/s/iwc5f0teufe7498cskm16hturoyilu6v,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Summary Report in English,First Equity Evidence Academy Summary Report in English,5) Reference/tool,Website,https://duke.box.com/s/9i006cvlu9oltx2ku9r79j4r6uogw37e,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Data Profile in Spanish,First Equity Evidence Academy Data Profile in Spanish,5) Reference/tool,Website,https://duke.box.com/s/y5rv4law6qjz10m3zsmbu7uevq6cegxy,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Data Profile in English,First Equity Evidence Academy Data Profile in English,5) Reference/tool,Website,https://duke.box.com/s/cgdr3mqb2ocipdvmo79yb0ba3f8zvm88,NIH RADx Data Hub, 
Community Engagement Core,Group Model Building (GMB),Academic & NIH (Funder Audience),Program Evaluation ,CDCC Touchpoint System map ,"The CDCC Stakeholder FARE (feedback, alignment, responsiveness, and engagement) Task Force created a systems map that depicts and describes all of the CDCC’s touchpoints’ feedback process with the aim to strengthen communities of practice.  ",5) Reference/tool,Map,N/A,"Hosted on free Kumu account (Lia Kaz); no need to transfer to another platform; should not exist as a static document, the interactive nature of the platform is how it makes sense to the end-user", 
Community Engagement Core,Group Model Building (GMB),Academic Audience,Testing ,Building Community Capacity & Impact: Causal loop diagram ,"Causal loop diagram of COVID misinformation: Collaboration with the CDCC Group Model Building team to map misinformation about risk of COVID-19, misinformation about COVID-19 vaccines, and misinformation about COVID-19 testing through causal loop diagramming in Venism software (visual representation of what helps, or hurts, equitable COVID-19 testing), to locate gaps to be addressed. ",5) Reference/tool,PDF Document,https://duke.box.com/s/sthcht9liacopgce3xnn2d2y6euq4w2q,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Group Model Building (GMB),Academic Audience,Best Practices for Conducting Community Engaged Research,(Manuscript) A Systems Perspective of How Community-Engaged Public Health Addresses Social Determinants of Health: A Case Study of a Population-Based COVID-19 Testing Program,"Design: We leveraged the case context of a large federal initiative (Rapid Acceleration of Diagnostics-Underserved Populations [RADx-UP]) designed to improve COVID-19 testing for underserved populations through community-engaged and participatory approaches. First, we used structured sessions with RADx-UP partners to create causal maps that documented relationships between factors relevant to SDOH, a health-seeking behavior (COVID-19 testing), and community engagement strategies. Second, we searched, reviewed, and tied evidence from RADx-UP peer-reviewed literature to contextualize the causal maps. Results: We identified 17 unique pathways that linked SDOH to COVID-19 testing. The map also highlighted 3 mechanisms through which the community engagement addressed SDOH: (1) improving access to testing, (2) addressing health and digital literacy, and (3) conducting social needs screening and assistance. PMID: 39908414 DOI: 10.1097/PHH.0000000000002089 ",5) Reference/tool,PDF Document,,https://pubmed.ncbi.nlm.nih.gov/39908414/,Playbook (linked)
Community Engagement Core,Group Model Building (GMB),Academic Audience,Testing ,Social Determinants of COVID-19 Testing and Vaccination: Causal loop diagram,"Collaboration with the CDCC Group Model Building team to create a visual representation of what helps, or hurts, equitable COVID-19 testing.",5) Reference/tool,PDF Document,https://duke.box.com/s/z8wyu7vz7x2isfege0ag9g908r74sz1s,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Group Model Building (GMB),Community Audience,Best Practices for Conducting Community Engaged Research,RISE Platform (BCCI),"The purpose of this products is to provide interactive online platforms for community partners or academic research to explore data visualization of the efforts of RADx-UP Group Model Building and BCCI Work Groups Building community capacity and impact) . The team created visual representations of what helps, or hurts, equitable COVID-19 testing. The platform features a table with visual diagrams and explanatory text, quotes from work group members (including community partners), links to relevant RADx-UP publications, and interactive capabilities for exploring different aspects of the data. This work group was especially interested in exploring or missing and mis information impact equitable access to COVID-19 testing. This product will provide best practice insights for similar grant structures, public health responses to pandemics, and inform how testing access can be designed most equitably. ",5) Reference/tool,Platform,N/A,https://rise.articulate.com/share/V12zpBHupbu8aa7rm1WDSbwMLVFkZ3Pr#/ ,Playbook (linked)
Community Engagement Core,Group Model Building (GMB),Community Audience,Best Practices for Conducting Community Engaged Research,RISE Platform (SDoTV),"The purpose of this product is to provide interactive online platforms for community partners or academic research to explore data visualization of the efforts of RADx-UP Group Model Building and SDoTV Work Group (social determinants of testing and vaccination) . The team created visual representations of what helps, or hurts, equitable COVID-19 testing. The platform features a table with visual diagrams and explanatory text, quotes from work group members (including community partners), links to relevant RADx-UP publications, and interactive capabilities for exploring different aspects of the data. This work group was especially interested in exploring the social determinants of health impacts on COVID-19 testing. This product will provide best practice insights for similar grant structures, public health responses to pandemics, and inform how testing access can be designed most equitably. ",5) Reference/tool,Platform,N/A,https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Frise.articulate.com%2Fshare%2F46HKKwb1kQFoiIWELbZE9m8wPELJfPvn&data=05%7C02%7C%7C35aec75033774efb8b6808dc91fd1acc%7C58b3d54f16c942d3af081fcabd095666%7C1%7C0%7C638545763828249863%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=Tc032zvm41qjxmYHO2%2FVAUj1SOPLTv8bQGKoo8qm8IM%3D&reserved=0 ,Playbook (linked)
Community Engagement Core,Health Equity Policy,Academic & Community Audience,Policy and Practice ,Policy Framework Exercise for Community-Based COVID-19 Testing ,"The RADx-UP CDCC conducted a policy analysis and developed a policy framework to help health leaders address challenges during the pandemic. The policy framework identifies five key policy levers for addressing health inequities in COVID-19 and beyond—access, resource allocation, data, communication and messaging, and payment—and three foundational components—community engagement, cross-sector partnerships, and regulatory guidance. As a result, the current health policy framework team offers this DIY (do-it-yourself) exercise to guide your team towards developing policy change strategies related to your RADx-UP initiative. This can be done with multiple members of your team or individually.",3) Template,PDF Document,https://duke.box.com/s/ffc4vfk4x3abgjtjwce3zglyqo3r26bn,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Health Equity Policy,Community Audience,Policy and Practice ,Opportunities to Enhance Health Equity by Integrating Community Health Workers into Payment and Care Delivery Reforms ,"A policy paper from Duke-Margolis Center for Health Policy, UNC Center for Health Equity Research and Duke Clinical Research Institute delivers policy recommendations to enhance and prioritize Community Health Worker (CHW) models into existing health care transformation reforms to address health inequities in the U.S.",4) Recommendation or guidance,PDF Document,https://duke.box.com/s/m814uiev5liavax1owhz08zs5qk4shlu,https://healthpolicy.duke.edu/publications/opportunities-enhance-health-equity-integrating-community-health-workers-payment,Playbook (linked)
Community Engagement Core,Health Equity Policy,Community Audience,Policy and Practice ,Prioritizing Community Health Workers in Health Care Reform is Key to Enhancing Health Equity (English),English version of lay brief re COVID-19 Health Equity Studies Prompt Policy Recommendations to Prioritize Community Health Workers (English),4) Recommendation or guidance,PDF Document,https://duke.box.com/s/gvvyichzjp0wpdixhspzb9abt4im04zr,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Health Equity Policy,Community Audience,Policy and Practice ,Prioritizing Community Health Workers in Health Care Reform is Key to Enhancing Health Equity (Spanish),Spanish version of lay brief re COVID-19 Health Equity Studies Prompt Policy Recommendations to Prioritize Community Health Workers (Spanish),4) Recommendation or guidance,PDF Document,https://duke.box.com/s/kq2mngp6l7f6wj386vnunojjewitaxhx,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Health Equity Policy,Community Audience,Policy and Practice,Redressing Systemic Inequities: Five Lessons for Community-Based COVID-19 Testing From the RADx-UP Initiative (blog),"This Health Affairs blog post highlights five lessons learned about community-academic partnerships through RADx-UP's work. RADx-UP projects focus on increasing testing access and uptake for historically marginalized populations by implementing five key strategies: deploying mobile units to expand access, using disadvantage indices to prioritize resource redistribution, embedding community feedback into data collection, collaborating with community leaders to create key messages, and expanding provider payments to support community-based models.",4) Recommendation or guidance,Website / Blog,https://www.healthaffairs.org/do/10.1377/forefront.20220519.204170,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Health Equity Policy,Community Audience,Policy and Practice,Scaling Up Equitable Access to Community-Based COVID-19 Testing: Strategies from the RADx-UP Initiative (Executive Summary) ,"The executive summary for the policy paper, Scaling Up Equitable Access to Community-Based COVID-19 Testing: Strategies from the RADx-UP Initiative. This policy paper from Duke-Margolis Center for Health Policy, UNC Center for Health Equity Research, and Duke Clinical Research Institute offers a timely perspective into the policy strategies necessary to close equity gaps in COVID-19 testing based on experiences from RADx-UP projects.",5) Reference/tool,PD Document,https://duke.box.com/s/3ohvhd4m254bmr4ak9977pqhke95rqw8,NIH RADx Data Hub,Playbook (appendix)
Admin Core ,Long COVID CDE Task Force ,Academic Audience,Best Practices for Conducting Community Engaged Research,(Manuscript) A Participatory Approach to Developing Common Data Elements: A Case Study from Long COVID,"During the annual scientific meeting of the Rapid Acceleration of Diagnostics-Underserved Populations (RADx-UP) consortium, the RADx-UP Coordination and Data Collection Center (CDCC) leadership realized the need, due to concerns raised by the community-engaged research projects, to incorporate long COVID common data elements (CDEs) into the program CDEs. To address the concerns, the CDCC leadership created the Long COVID CDEs Task Force (Task Force) to develop CDEs that would be added to the existing bank of RADx-UP CDEs. The Task Force comprised mainly of community partners and project personnel participated in various activities, including focus groups, to provide feedback on the fit for RADx-UP of CDEs created for the RECOVER program. What the Task Force process brought to light was the need to pivot away from the RECOVER CDEs and to create a novel set of CDEs that were a better fit for the populations served by RADx-UP.",4) Recommendation or guidance,PDF Document,N/A, https://doi.org/10.1093/jamiaopen/ooaf046,Playbook (linked)
Admin Core,Community Collaboration Grant (C2G),Academic Audience,Program Evaluation ,C2G 2022 Mid-Year Evaluation Report,This is the mid-year Community Collaboration Mini-Grant (C2G) evaluation report for 2022.,5) Reference/tool,PDF Document,https://duke.box.com/s/5pj6laja14gfy5fd0mmtaabli4aoujb8,NIH RADx Data Hub,
Admin Core,Community Collaboration Grant (C2G),Academic Audience,Program Evaluation ,C2G 2023 Mid-Year Evaluation Report,This is the mid-year Community Collaboration Mini-Grant (C2G) evaluation report for 2023.,5) Reference/tool,PDF Document,https://duke.box.com/s/n233dhwaasimpndcvoobaye91xj7uk5v,NIH RADx Data Hub,
Admin Core,Community Collaboration Grant (C2G),Academic Audience,Program Evaluation ,RADx-UP CDCC Community Collaboration Grant (C2G) Program​ Impact Profile Portfolio [aggregate],"The Translational Science Benefits Model (TSBM)  framework helps public health and clinical researchers demonstrate the real-world impact of their work. For the C2G evaluation, T&E adapted the Impact Profile template from the TSBM toolkit to summarize and share individual C2G project impacts in a 1-pager and agregate project impacts across the program in 4 domain benefits (Clinical, Community and Public Health, Economic, and Policy). Examples of project benefits the profiles show include: project resources developed, counts and types of of underserved communities projects reached, ways projects made testing and/or vaccination accessible. The portfolio is the collection of completed profiles for C2G projects (populated with project data). The template is a resource that shows how the TSBM impact profile was adapted for use by RADx-UP (color scheme and icons, section desriptions) etc. The use of project and aggregate C2G TSBM Impact Profiles helps illustrate the Clinical, Community and Public Health, Policy, and Economic benefits related to testing and vaccination the funded projects had in thier priority populations. The categorized benefits may help provide examples in context for recommendations about developing culturally-tailored resources and services.",5) Reference/tool,PDF Document,https://duke.box.com/s/lwojeg5j4e4qa01zxxexp9b6qjbjiq7h,NIH RADx Data Hub,
Admin Core,Rapid Research Pilot (RP2) Program,Academic Audience,Program Evaluation ,RP2 2022 Annual Evaluation Report,This is the RADx-UP Rapid Research Pilot Program’s (RP2) annual evaluation report for 2022.,5) Reference/tool,PDF Document,https://duke.box.com/s/ky4gt9k4s76kntnko4q2i3kq33lblvx3,NIH RADx Data Hub,
Admin Core,Rapid Research Pilot (RP2) Program,Academic Audience,Program Evaluation ,RP2 2022 Mid-Year Evaluation Report,This is the RADx-UP Rapid Research Pilot Program’s (RP2) mid-year evaluation report for 2022.,5) Reference/tool,PDF Document,https://duke.box.com/s/21l32fbkuu9jya6e4v0jr97bw0b660k9,NIH RADx Data Hub,
Admin Core,Rapid Research Pilot (RP2) Program,Academic Audience,Program Evaluation ,RP2 2023 Mid-Year Evaluation Report,"This is the RADx-UP Rapid Research Pilot Program’s (RP2) mid-year evaluation report for 2023. These are RADx-UP Rapid Research Pilot Program’s (RP2) biannual evaluation reports that describe key evaluation findings that indicate RADx-UP RP2 program outputs, outcomes, productivity, and impacts between January 2022 through June 30, 2022 (2022 mid year report); January 1, 2022 through December 31, 2022 (2022 annual report); January 1, 2023 through June 30, 2023 (2023 mid year report) ; and January 1, 2023 through December 31, 2023 (2023 annual report - this report will also identify lessons learned and implications from the program evaluation findings). ",5) Reference/tool,PDF Document,https://duke.box.com/s/526yq07zf9qgdwhkkib9xzw65v2gd2xr,NIH RADx Data Hub,
Admin Core,Community Collaboration Grant (C2G),Academic Audience,Program Evaluation ,C2G 2023 Annual Evaluation Reports,"These is the annual Community Collaboration Mini-Grant (C2G) evaluation report for 2023. These Community Collaboration Mini-Grant (C2G) biannual evaluation report details the key evaluation findings from 2022 and 2023 that indicate program outputs, outcomes, productivity, and impacts between January 2022 through June 30, 2022 (2022 mid-year report); January 1, 2022, through December 31, 2022 (2022 annual report); December 6, 2022 through August 7, 2023 (2023 mid-year report); January 1, 2023, through December 31, 2023 (2023 annual report - this report will also identify lessons learned and implications from the program evaluation findings.). ",5) Reference/tool,PDF Document,https://duke.box.com/s/wpls8jldfylb6xfpubu8z75tpqutoawb,NIH RADx Data Hub,
Admin Core,Rapid Research Pilot (RP2) Program,Academic Audience,Program Evaluation ,RP2 2023 Annual Evaluation Report,This is the RADx-UP Rapid Research Pilot Program’s (RP2) annual evaluation report for 2023.,5) Reference/tool,PDF Document,https://duke.box.com/s/sd3c2k9u4gnnyl2q0a7n2pe597thniv0,NIH RADx Data Hub,
Admin Core,Community Collaboration Grant (C2G),NIH (Funder) Audience,Program Evaluation ,Evaluating Community Collaboration for Sustained Change in Health and Equity: Telling the Story of RADx-UP C2G Pilot Projects,"This 2023 AEA Conference poster describes a component analysis of the C2G evaluation used to investigate the long-term impacts and lessons learned from projects receiving a C2G award. A qualitative, narrative analysis was used to evaluate projects’ successes, challenges, sustainability, and community impacts. Findings from this C2G evaluation report can support evidence-based guidance on using stories and elevating project/community voices in program evaluation. C2G projects’ stories are impactful for both program evaluation as well as sharing lessons learned with others conducting CBPR in the field of public health research. Findings showed that: - C2G projects improve health equity in underserved communities by tailoring COVID-19 education and testing interventions to community needs. - They do so by partnering with other community organizations to conduct research and outreach, building and maintaining trust in communities, and addressing social determinants of health. ",4) Recommendation or guidance,PDF Document,N/A,https://cdr.lib.unc.edu/concern/scholarly_works/7w62fk79v,
Data Core,Non-CDE Data,Academic Audience,Data Collection and Storage ,Non-CDE Data Submission Guidance,This data submission guidance can be used by projects to submit non-CDE data such as Qualitative data collected as part of the studies. ,5) Reference/tool,PDF Document,https://duke.box.com/s/irukh41wm65wxc7ie3p6d8ro0leawvfz,NIH RADx Data Hub,Playbook (linked)
Data Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement,Analysis Proposal Template ,The statistics team along with Partnering  for Impact group created a template that the writing team leads can use when they submit an analysis proposal. This can contribute to best practices or recommendations.,3) Template,PDF Document,https://duke.box.com/s/dggq748xahi582nqrwun49c3hub33h17,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement,Partnering for Impact Workshop Series: #6 Using a Citation Manager,Generalizable series about how to write a journal article,2) Training,Video,https://duke.box.com/s/ut1wwxllrhoty3s79h7mifq86vk5yqqd, https://youtu.be/Zcfi1qzG_Gs,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement,Partnering for Impact Workshop Series: #7 Writing the Intro,Generalizable series about how to write a journal article,2) Training,Video,https://duke.box.com/s/9xjl9nkz3wed0k8u4c55fw4a5wlgivy8, https://youtu.be/t1GP7rNRv5Q,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement,Partnering for Impact Workshop Series: #3 Journal Selection,"3rd in series but the first session with generalizable information, not specific to RADx-UP's data catalog, etc.",2) Training,PDF Document,https://duke.box.com/s/6nswqda2qa6fy4xve89aw7322p6rgc5b,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement ,Partnering for Impact Workshop Series: #4 Journal Submission,Generalizable series about how to write a journal article,2) Training,PDF Document,https://duke.box.com/s/g2wiiwsly0qv9slx4vwunyes70dn0tae,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement ,Partnering for Impact Workshop Series: #5 Intro to Searching,Generalizable series about how to write a journal article,2) Training,PDF Document,https://duke.box.com/s/e4qcsr2vd64h2yem1xgq27ljosqtbwsp,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement ,Partnering for Impact Workshop Series: #6 Using Citation Manager,Generalizable series about how to write a journal article,2) Training,PDF Document,https://duke.box.com/s/d63l22s9vagqm8zli19e1zbrsfqcgy32,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement ,Partnering for Impact Workshop Series: #7 Writing the Intro,Generalizable series about how to write a journal article,2) Training,PDF Document,https://duke.box.com/s/3r6gd06ufq8gefy5m0cwnnnj8aqxtrd7,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement ,Partnering for Impact Workshop Series: #8 Writing the Methods,Generalizable series about how to write a journal article,2) Training,PDF Document,https://duke.box.com/s/6ec2y7ymzchxfigvmyum03d60h3tb4hk,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement,Partnering for Impact Workshop Series: #8 Writing the Methods,Generalizable series about how to write a journal article,2) Training,Video,https://duke.box.com/s/gyc66fei08c5ixb7n8p825bjzp1trjyx,https://youtu.be/BjNdHzdK3js,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement ,Partnering for Impact Workshop Series: #9 Writing the Results,Generalizable series about how to write a journal article,2) Training,Video,https://duke.box.com/s/r4de7lbivy7xi1dcl9ok5ckpqm97pusp,https://youtu.be/BjNdHzdK3js,Playbook (linked)
Data Core,Publication,Community Audience,Testing,"Examining COVID-19 testing and vaccination behaviors by heritage and linguistic preferences among Hispanic, Latino, or Spanish RADx-UP participants",First cross-consortial manuscript published throug Partnering for Impact by Dr Emily D'Agostino et al. Published Manuscript using cross-consortium data,4) Recommendation or guidance,PDF Document,N/A,https://www.sciencedirect.com/science/article/pii/S2211335523002504?via%3Dihub,Playbook (linked)
Admin Core,Publications Program,NIH (Funder) Audience,Program Evaluation ,Early Findings of RADx-UP: Qualitative Evaluation Brief,"This is a brief report of evaluation findings from interviews of sampled Projects' academic and community partners. Translational Science Benefits Model (TSBM) and RE-AIM frameworks were used to assess projects’ clinical accomplishments, community
benefits, policy implications, projects’ perceptions of their reach, implementation strategies, and maintenance (or sustainability). The report describes learning and key findings across publications regarding: 1) SEBI Factors Related to Testing and Vaccination; 2) Structural Barriers to Testing and Vaccination; 3) Impact of Community Engagement and Collaborative Partnerships; and 4)  Lessons Learned from Implementation and Intervention Strategies. Community engaged research impacts are described in bullet points for easy extraction. The reports' lessons learned and key recommendations indicate how a funder and funded-coordinating center can support academic-community partnerships to successfully implement and sustain impacts of their community-engaged research. These could contribute to recommendations for funders.  ",4) Recommendation or guidance,PDF Document,https://duke.box.com/s/dsefw1m79ooh0r09i316jiq0qh91slv3,NIH RADx Data Hub,
Admin Core,Publications Program,NIH (Funder) Audience,Program Evaluation ,RADx-UP 2022 Bibliometrics Report,"These RADx-UP Biblometrics Reports (2022 and 2023) describe the methods and results of a bibliometric analysus that was used as part of the program evaluation to assess projects' scholarly productivity, influence, and public engagement with the research. The reports indicate how bibliometrics can be used to understand interactions with publications in scholarly journals, social media, and policy reports. Publications were tracked to understand which journals published articles to better understand opportunities for dissemination recommentations for community-enaged research. These reports assessed research performance by presenting an evaluative bibliometric analysis of RADx-UP-funded research publications. The early signals from 2022 indicated effective dissemination to both scholarly and non-scholarly communities. ",5) Reference/tool,PDF Document,https://duke.box.com/s/kfb6uesrbpnq3f5l04vmvpez9crmg5fo,NIH RADx Data Hub,
Admin Core,Publications Program,NIH (Funder) Audience,Program Evaluation ,RADx-UP 2023 Bibliometrics Reports ,"These RADx-UP Biblometrics Reports (2022 and 2023) describe the methods and results of a bibliometric analysus that was used as part of the program evaluation to assess projects' scholarly productivity, influence, and public engagement with the research. The reports indicate how bibliometrics can be used to understand interactions with publications in scholarly journals, social media, and policy reports. Publications were tracked to understand which journals published articles to better understand opportunities for dissemination recommentations for community-enaged research. These reports assessed research performance by presenting an evaluative bibliometric analysis of RADx-UP-funded research publications. The early signals from 2022 indicated effective dissemination to both scholarly and non-scholarly communities. ",5) Reference/tool,PDF Document,https://duke.box.com/s/4g5difja4jvnppbw5uje06b48gtd3jtv,NIH RADx Data Hub,
Admin Core,Publications Program,NIH (Funder) Audience,Program Evaluation ,RADx-UP Publications Summative Content Analysis Report (December 2024): Insights from Articles Published in Scholarly Journals ,This is a full report of evaluation findings from a content analysis of RADxUP Scholarly Publications through December 2024.,4) Recommendation or guidance,PDF Document,https://duke.box.com/s/j963igxsreis9obcijcjbfsmiscl57hk,NIH RADx Data Hub,Playbook (appendix)
Admin Core,Publications Program,NIH (Funder) Audience,Program Evaluation ,RADX-UP Publication Network Analysis Presentation,This is a breif report slide deck of the network analyses of co-authorship and topic networks of RADx-UP published articles: (1) 196 RADx-UP articles identified through  03.31.2023.(2) 70 RADx-UP articles identified through 03.15.2022; (3) 33 RADx-UP articles identified through 09.29.2021.  This first network analyses of RADx-UP publications indicated that collaboration was mostly occurring within projects not unexpectedly at the start of the initiative. The most recent presentation of findings shows a network of robust scientific collaboration consisting of 779 authors grouped into 34 clusters (co-authorship components) from 196 RADx-UP published scholarly articles published as of 03.31.2023. The network of co-authors included individuals with academic and non-academic affiliations (community). Community outreach strategies had the highest betweenness centrality in the topic correlation network. An important subject that coexists with many others in scholarship.​ The growing scientific collaboration among researchers and partners is an important facet to highlight about RADx-UP impact.,5) Reference/tool,PDF Document,https://duke.box.com/s/mhw8hf6pjd90z8nb6zb9vs4q6dassr5s ,NIH RADx Data Hub,
